poiid,created_time,created_date,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094652DB64A7F8469D,Fri Nov 08 00:22:05 +0800 2013,Fri Nov 08 2013,3642156860656400,____________[__][__] ____:http://t.cn/z82SYI0,"<a href=""http://app.weibo.com/t/feed/3ewg66"" rel=""nofollow"">nubia Z5</a>",1030338131,__ __,22.54439,114.01144,22.54439,114.01144,Buildings,Others
B2094652DB6AAAFC439A,Fri Nov 08 00:23:38 +0800 2013,Fri Nov 08 2013,3642157242452540,___________:#________#,"<a href=""http://app.weibo.com/t/feed/8crQy"" rel=""nofollow"">Weico.iPhone</a>",1679464245,__ ___,22.53273,113.98468,22.53273,113.98468,Hostelsá,Travel
B2094652DB6AA3F8489D,Fri Nov 08 00:23:46 +0800 2013,Fri Nov 08 2013,3642157288603080,___HK______________[_][_]____________[__] ____:http://t.cn/zQe4PQb,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2784552682,__ __,22.516979,113.911118,22.516979,113.911118,Residence,Home/Work
B2094653D26BA2F5439B,Fri Nov 08 00:24:07 +0800 2013,Fri Nov 08 2013,3642157367492230,________ ____:http://t.cn/z82Eywc,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3816708555,__ __,22.58068,113.95442,22.58068,113.95442,Bus Station,Travel
B2094757D069A7FF469C,Fri Nov 08 00:24:18 +0800 2013,Fri Nov 08 2013,3642157413958660,_____________________ ____:http://t.cn/z8LPSkz,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1672033181,__ __,22.58229007,113.9376397,22.58229007,113.9376397,Colleges&Universities,College/Organization
B2094757D66DA1FF429E,Fri Nov 08 00:24:24 +0800 2013,Fri Nov 08 2013,3642157439644110,Brother -Don*John[__][__] ____:http://t.cn/z8AXnrW,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2230189824,__ __,22.513662,114.056267,22.513662,114.056267,Unknowná,Others
B2094757D068A4FF459A,Fri Nov 08 00:24:46 +0800 2013,Fri Nov 08 2013,3642157527071740,_____________[_] ____:http://t.cn/z8AbncO,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2091132034,__ __,22.54718846,114.1214381,22.54718846,114.1214381,Mallsá,Shopping
B2094653D26EA6F9419E,Fri Nov 08 00:25:09 +0800 2013,Fri Nov 08 2013,3642157627745070,[_]_________ ____:http://t.cn/z8LPqzN,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2934610127,__ __,22.571751,114.129402,22.571751,114.129402,Residence,Home/Work
B2094757D069A5FC4598,Fri Nov 08 00:25:24 +0800 2013,Fri Nov 08 2013,3642157699250140,____ ____:http://t.cn/z8A8eLY,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2701701147,__,22.532539,114.00354,22.532539,114.00354,Othersá,Others
B2094653D26BA3F8489B,Fri Nov 08 00:26:16 +0800 2013,Fri Nov 08 2013,3642157909021400,____________________ ____:http://t.cn/z8A6zmy,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3889679581,__ __,22.54148,114.10886,22.54148,114.10886,Bus Station,Travel
B2094757D069ABFB409A,Fri Nov 08 00:26:23 +0800 2013,Fri Nov 08 2013,3642157946780160,____ ____:http://t.cn/zQeqRQU,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2701701147,__,22.535629,113.99855,22.535629,113.99855,Hostelsá,Travel
B2094757D069A7FD4999,Fri Nov 08 00:26:53 +0800 2013,Fri Nov 08 2013,3642158064252290,_______________17____________[__][__] ____:http://t.cn/zQFLHG7,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2395150955,__ __,22.54039001,114.0211563,22.54039001,114.0211563,Fast food,Food/Drinks
B2094653D268A4FB4199,Fri Nov 08 00:28:41 +0800 2013,Fri Nov 08 2013,3642158512389120,__________…_______…__________________________ ____:http://t.cn/zHkLroQ,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",3758849355,__ ___,22.502029,113.896782,22.502029,113.896782,Residence,Home/Work
B2094757D068ABFF469D,Fri Nov 08 00:29:24 +0800 2013,Fri Nov 08 2013,3642158697500760,___________ ____:http://t.cn/z8AJbX8,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2803391524,__ __,22.58383016,114.117132,22.58383016,114.117132,Subway,Travel
B2094652DB65A6FF409C,Fri Nov 08 00:29:49 +0800 2013,Fri Nov 08 2013,3642158810775910,__________________________________________________________________________.__. ____:http://t.cn/z82QIHn,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1968274921,__ __,22.55036,114.10962,22.55036,114.10962,Buildings,Others
B2094653D26EA4F94793,Fri Nov 08 00:30:25 +0800 2013,Fri Nov 08 2013,3642158953704440,________…____ ____:http://t.cn/z822TUW,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2426510937,__ __,22.5364,114.087601,22.5364,114.087601,Residence,Home/Work
B2094757D065A1FF419B,Fri Nov 08 00:30:50 +0800 2013,Fri Nov 08 2013,3642159054396770,_____________…________________________… ____:http://t.cn/zQkbJa2,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2134442534,__ __,22.537691,113.975845,22.537691,113.975845,Hostelsá,Travel
B2094652DB6AABFD469A,Fri Nov 08 00:31:16 +0800 2013,Fri Nov 08 2013,3642159175776070,___11._____.___[_] ____:http://t.cn/z8AF9gB,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2801913755,__ __,22.51265,113.93412,22.51265,113.93412,Residence,Home/Work
B2094652DB64A6FD4593,Fri Nov 08 00:31:42 +0800 2013,Fri Nov 08 2013,3642159276005600,_________ ____:http://t.cn/z8Abfu7,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2235958180,__ __,22.52095,114.07196,22.52095,114.07196,Outdoors,Outdoors/Sports
B2094750D268A0F54498,Fri Nov 08 00:31:53 +0800 2013,Fri Nov 08 2013,3642159322147550,__________ ____:http://t.cn/z8Ac6lg,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2930641867,__,22.536177,114.02951,22.536177,114.02951,Companyá,Home/Work
B2094653D26AABFF4092,Fri Nov 08 00:32:02 +0800 2013,Fri Nov 08 2013,3642159368765080,_________________________________ ____:http://t.cn/z82zLS0,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2679148527,__ __,22.53526,114.07017,22.53526,114.07017,Bus Station,Travel
B2094750DB6EA4FC449E,Fri Nov 08 00:32:15 +0800 2013,Fri Nov 08 2013,3642159414652340,_______________ ____:http://t.cn/z8aoohz,"<a href=""http://app.weibo.com/t/feed/15mWgo"" rel=""nofollow"">____G3_</a>",1926539462,__ __,22.546142,114.045854,22.546142,114.045854,Residence,Home/Work
B2094652DB69A5FF4698,Fri Nov 08 00:32:55 +0800 2013,Fri Nov 08 2013,3642159591156280,________________________… ____:http://t.cn/z8ASh6p,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2215913083,__ __,22.545389,113.977272,22.545389,113.977272,Residence,Home/Work
B2094652DB6AA2F44692,Fri Nov 08 00:34:41 +0800 2013,Fri Nov 08 2013,3642160044256220,_______ ____:http://t.cn/z8U9Cxh,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2881876707,__ __,22.529461,113.912621,22.529461,113.912621,Residence,Home/Work
B2094653D26EA7F44898,Fri Nov 08 00:35:27 +0800 2013,Fri Nov 08 2013,3642160232718680,_________ ____:http://t.cn/z8AHuDS,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2177944565,__ __,22.52259,114.05014,22.52259,114.05014,Buffet,Food/Drinks
B2094757D068A1FE439C,Fri Nov 08 00:35:52 +0800 2013,Fri Nov 08 2013,3642160325005220,________[____][____][____]@glacier_why @__-x @Lass___ @Myyshi @_________ @_____-________ @vspce-___ @____@________ ____:http://t.cn/z8AMIgK,"<a href=""http://app.weibo.com/t/feed/NzVRe"" rel=""nofollow"">____1S</a>",1796084673,__ __,22.5691227,114.1370676,22.5691227,114.1370676,Mallsá,Shopping
